Title,Release date,Runtime,Language
My Own Man,"March 6, 2015",1 h 21 min,English
The Other One: The Long Strange Trip of Bob Weir,"May 22, 2015",1 h 23 min,English
Hot Girls Wanted,"May 29, 2015",1 h 24 min,English
"What Happened, Miss Simone?","June 26, 2015",1 h 24 min,English
Tig,"July 17, 2015",1 h 20 min,English
Keith Richards: Under the Influence,"September 18, 2015",1 h 21 min,English
Winter on Fire: Ukraine's Fight for Freedom,"October 9, 2015",1 h 31 min,Ukrainian
My Beautiful Broken Brain,"March 18, 2016",1 h 31 min,English
Team Foxcatcher,"April 29, 2016",1 h 30 min,English
Tony Robbins: I Am Not Your Guru,"July 15, 2016",1 h 56 min,English
I'll Sleep When I'm Dead,"August 19, 2016",1 h 19 min,English
Extremis,"September 13, 2016",24 min,English
The White Helmets,"September 16, 2016",40 min,English
Audrie & Daisy,"September 23, 2016",1 h 38 min,English
Amanda Knox,"September 30, 2016",1 h 32 min,English
13th,"October 7, 2016",1 h 40 min,English
Sky Ladder: The Art of Cai Guo-Qiang,"October 14, 2016",1 h 19 min,Mandarin
Into the Inferno,"October 28, 2016",1 h 47 min,English
The Ivory Game,"November 4, 2016",1 h 52 min,English
Casting JonBenet,"April 28, 2017",1 h 20 min,English
The Mars Generation,"May 5, 2017",1 h 37 min,English
Get Me Roger Stone,"May 12, 2017",1 h 41 min,English
Laerte-se,"May 19, 2017",1 h 40 min,Portuguese
Joshua: Teenager vs. Superpower,"May 26, 2017",1 h 18 min,English
CounterPunch,"June 16, 2017",1 h 31 min,English
Nobody Speak: Trials of the Free Press,"June 23, 2017",1 h 35 min,English
Chasing Coral,"July 14, 2017",1 h 29 min,English
Icarus,"August 4, 2017",2 h,English
Resurface,"September 1, 2017",27 min,English
Heroin(e),"September 12, 2017",39 min,English
Strong Island,"September 15, 2017",1 h 47 min,English
Gaga: Five Foot Two,"September 22, 2017",1 h 40 min,English
Long Shot,"September 29, 2017",40 min,English
The Death and Life of Marsha P. Johnson,"October 6, 2017",1 h 45 min,English
Kingdom of Us,"October 13, 2017",1 h 49 min,English
One of Us,"October 20, 2017",1 h 35 min,English
Joan Didion: The Center Will Not Hold,"October 27, 2017",1 h 38 min,English
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","November 17, 2017",1 h 34 min,English
Saving Capitalism,"November 21, 2017",1 h 13 min,English
Cuba and the Cameraman,"November 24, 2017",1 h 54 min,English
Voyeur,"December 1, 2017",1 h 35 min,English
Seeing Allred,"February 9, 2018",1 h 35 min,English
The Trader,"February 9, 2018",23 min,Georgian
Ladies First,"March 8, 2018",39 min,Hindi
Take Your Pills,"March 16, 2018",1 h 27 min,English
"Ram Dass, Going Home","April 6, 2018",31 min,English
Mercury 13,"April 20, 2018",1 h 19 min,English
The Rachel Divide,"April 27, 2018",1 h 44 min,English
End Game,"May 4, 2018",40 min,English
Recovery Boys,"June 29, 2018",1 h 29 min,English
The Bleeding Edge,"July 27, 2018",1 h 40 min,English
City of Joy,"September 7, 2018",1 h 16 min,English
Reversing Roe,"September 13, 2018",1 h 39 min,English
Quincy,"September 21, 2018",2 h 4 min,English
Two Catalonias,"September 28, 2018",1 h 56 min,Spanish
Lessons from a School Shooting: Notes from Dunblane,"September 28, 2018",23 min,English
Feminists: What Were They Thinking?,"October 12, 2018",1 h 26 min,English
ReMastered: Who Shot the Sheriff?,"October 12, 2018",57 min,English
Shirkers,"October 26, 2018",1 h 37 min,English
They'll Love Me When I'm Dead,"November 2, 2018",1 h 38 min,English
ReMastered: Tricky Dick & the Man in Black,"November 2, 2018",58 min,English
The American Meme,"December 7, 2018",1 h 38 min,English
ReMastered: Who Killed Jam Master Jay?,"December 7, 2018",58 min,English
"Out of Many, One","December 12, 2018",34 min,English
Struggle: The Life and Lost Art of Szukalski,"December 21, 2018",1 h 45 min,English
ReMastered: Massacre at the Stadium,"January 11, 2019",1 h 4 min,English
Fyre: The Greatest Party That Never Happened,"January 18, 2019",1 h 37 min,English
ReMastered: The Two Killings of Sam Cooke,"February 8, 2019",1 h 4 min,English
Period. End of Sentence.,"February 12, 2019",26 min,Hindi
Antoine Griezmann: The Making of a Legend,"March 21, 2019",1 h,French
ReMastered: The Miami Showband Massacre,"March 22, 2019",1 h 10 min,English
The Legend of Cocaine Island,"March 29, 2019",1 h 27 min,English
Homecoming: A Film by Beyoncé,"April 17, 2019",2 h 17 min,English
Brené Brown: The Call to Courage,"April 19, 2019",1 h 16 min,English
Grass Is Greener,"April 20, 2019",1 h 37 min,English
ReMastered: Devil at the Crossroads,"April 26, 2019",48 min,English
Knock Down the House,"May 1, 2019",1 h 27 min,English
All in My Family,"May 3, 2019",39 min,English
ReMastered: The Lion's Share,"May 17, 2019",1 h 24 min,English
A Tale of Two Kitchens,"May 22, 2019",30 min,Spanish
After Maria,"May 24, 2019",37 min,Spanish
The Black Godfather,"June 7, 2019",1 h 58 min,English
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"June 12, 2019",2 h 22 min,English
Life Overtakes Me,"June 14, 2019",40 min,English
The Edge of Democracy,"June 19, 2019",2 h 1 min,Portuguese
Parchis: The Documentary,"July 10, 2019",1 h 46 min,Spanish
The Great Hack,"July 24, 2019",1 h 54 min,English
Enter the Anime,"August 5, 2019",58 min,English
American Factory,"August 21, 2019",1 h 50 min,English
Travis Scott: Look Mom I Can Fly,"August 28, 2019",1 h 25 min,English
Evelyn,"September 10, 2019",1 h 36 min,English
