title,release_date,runtime,language
My Own Man,2015-03-06,81,English
The Other One: The Long Strange Trip of Bob Weir,2015-05-22,83,English
Hot Girls Wanted,2015-05-29,84,English
"What Happened, Miss Simone?",2015-06-26,84,English
Tig,2015-07-17,80,English
Keith Richards: Under the Influence,2015-09-18,81,English
Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,91,Ukrainian
My Beautiful Broken Brain,2016-03-18,91,English
Team Foxcatcher,2016-04-29,90,English
Tony Robbins: I Am Not Your Guru,2016-07-15,116,English
I'll Sleep When I'm Dead,2016-08-19,79,English
Extremis,2016-09-13,24,English
The White Helmets,2016-09-16,40,English
Audrie & Daisy,2016-09-23,98,English
Amanda Knox,2016-09-30,92,English
13th,2016-10-07,100,English
Sky Ladder: The Art of Cai Guo-Qiang,2016-10-14,79,Mandarin
Into the Inferno,2016-10-28,107,English
The Ivory Game,2016-11-04,112,English
Casting JonBenet,2017-04-28,80,English
The Mars Generation,2017-05-05,97,English
Get Me Roger Stone,2017-05-12,101,English
Laerte-se,2017-05-19,100,Portuguese
Joshua: Teenager vs. Superpower,2017-05-26,78,English
CounterPunch,2017-06-16,91,English
Nobody Speak: Trials of the Free Press,2017-06-23,95,English
Chasing Coral,2017-07-14,89,English
Icarus,2017-08-04,120,English
Resurface,2017-09-01,27,English
Heroin(e),2017-09-12,39,English
Strong Island,2017-09-15,107,English
Gaga: Five Foot Two,2017-09-22,100,English
Long Shot,2017-09-29,40,English
The Death and Life of Marsha P. Johnson,2017-10-06,105,English
Kingdom of Us,2017-10-13,109,English
One of Us,2017-10-20,95,English
Joan Didion: The Center Will Not Hold,2017-10-27,98,English
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017-11-17,94,English
Saving Capitalism,2017-11-21,73,English
Cuba and the Cameraman,2017-11-24,114,English
Voyeur,2017-12-01,95,English
Seeing Allred,2018-02-09,95,English
The Trader,2018-02-09,23,Georgian
Ladies First,2018-03-08,39,Hindi
Take Your Pills,2018-03-16,87,English
"Ram Dass, Going Home",2018-04-06,31,English
Mercury 13,2018-04-20,79,English
The Rachel Divide,2018-04-27,104,English
End Game,2018-05-04,40,English
Recovery Boys,2018-06-29,89,English
The Bleeding Edge,2018-07-27,100,English
City of Joy,2018-09-07,76,English
Reversing Roe,2018-09-13,99,English
Quincy,2018-09-21,124,English
Two Catalonias,2018-09-28,116,Spanish
Lessons from a School Shooting: Notes from Dunblane,2018-09-28,23,English
Feminists: What Were They Thinking?,2018-10-12,86,English
ReMastered: Who Shot the Sheriff?,2018-10-12,57,English
Shirkers,2018-10-26,97,English
They'll Love Me When I'm Dead,2018-11-02,98,English
ReMastered: Tricky Dick & the Man in Black,2018-11-02,58,English
The American Meme,2018-12-07,98,English
ReMastered: Who Killed Jam Master Jay?,2018-12-07,58,English
"Out of Many, One",2018-12-12,34,English
Struggle: The Life and Lost Art of Szukalski,2018-12-21,105,English
ReMastered: Massacre at the Stadium,2019-01-11,64,English
Fyre: The Greatest Party That Never Happened,2019-01-18,97,English
ReMastered: The Two Killings of Sam Cooke,2019-02-08,64,English
Period. End of Sentence.,2019-02-12,26,Hindi
Antoine Griezmann: The Making of a Legend,2019-03-21,60,French
ReMastered: The Miami Showband Massacre,2019-03-22,70,English
The Legend of Cocaine Island,2019-03-29,87,English
Homecoming: A Film by Beyoncé,2019-04-17,137,English
Brené Brown: The Call to Courage,2019-04-19,76,English
Grass Is Greener,2019-04-20,97,English
ReMastered: Devil at the Crossroads,2019-04-26,48,English
Knock Down the House,2019-05-01,87,English
All in My Family,2019-05-03,39,English
ReMastered: The Lion's Share,2019-05-17,84,English
A Tale of Two Kitchens,2019-05-22,30,Spanish
After Maria,2019-05-24,37,Spanish
The Black Godfather,2019-06-07,118,English
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019-06-12,142,English
Life Overtakes Me,2019-06-14,40,English
The Edge of Democracy,2019-06-19,121,Portuguese
Parchis: The Documentary,2019-07-10,106,Spanish
The Great Hack,2019-07-24,114,English
Enter the Anime,2019-08-05,58,English
American Factory,2019-08-21,110,English
Travis Scott: Look Mom I Can Fly,2019-08-28,85,English
Evelyn,2019-09-10,96,English
"Hello, Privilege. It's Me, Chelsea",2019-09-13,64,English
Los Tigres del Norte at Folsom Prison,2019-09-15,64,Spanish
Birders,2019-09-25,37,Spanish
Ghosts of Sugar Land,2019-10-16,21,English
Tell Me Who I Am,2019-10-18,85,English
Dancing with the Birds,2019-10-23,51,English
It Takes a Lunatic,2019-10-25,126,English
A 3 Minute Hug,2019-10-28,28,Spanish
Fire in Paradise,2019-11-01,39,English
"Bikram: Yogi, Guru, Predator",2019-11-20,86,English
"Lorena, Light-Footed Woman",2019-11-20,28,Spanish
After the Raid,2019-12-19,25,Spanish
El Pepe: A Supreme Life,2019-12-27,73,Spanish
Miss Americana,2020-01-31,85,English
A Life of Speed: The Juan Manuel Fangio Story,2020-03-20,92,Spanish
Crip Camp: A Disability Revolution,2020-03-25,108,English
LA Originals,2020-04-10,92,English
Circus of Books,2020-04-22,86,English
A Secret Love,2020-04-29,82,English
Murder to Mercy: The Cyntoia Brown Story,2020-04-29,97,English
Becoming,2020-05-06,89,English
Have a Good Trip: Adventures in Psychedelics,2020-05-11,85,English
Spelling the Dream,2020-06-03,83,English
One Take,2020-06-18,85,Thai
Disclosure: Trans Lives on Screen,2020-06-19,107,English
Athlete A,2020-06-24,104,English
Mucho Mucho Amor: The Legend of Walter Mercado,2020-07-08,96,English
We Are One,2020-07-14,86,French
Father Soldier Son,2020-07-17,100,English
The Speed Cubers,2020-07-29,40,English
Anelka: Misunderstood,2020-08-05,94,French
Rising Phoenix,2020-08-26,106,English
My Octopus Teacher,2020-09-07,85,English
The Social Dilemma,2020-09-09,94,English
Hope Frozen: A Quest to Live Twice,2020-09-15,80,Thai
GIMS: On the Record,2020-09-17,96,French
American Murder: The Family Next Door,2020-09-30,82,English
Dick Johnson Is Dead,2020-10-02,90,English
David Attenborough: A Life on Our Planet,2020-10-04,83,English
Bigflo & Oli: Hip Hop Frenzy,2020-10-08,100,French
Blackpink: Light Up the Sky,2020-10-14,79,Korean
The Three Deaths of Marisela Escobedo,2020-10-14,109,Spanish
Rooting for Roona,2020-10-15,41,Bengali
Guillermo Vilas: Settling the Score,2020-10-27,94,Spanish
Secrets of the Saqqara Tomb,2020-10-28,114,English
Shawn Mendes: In Wonder,2020-11-23,83,English
Dance Dreams: Hot Chocolate Nutcracker,2020-11-27,80,English
Emicida: AmarElo – It's All For Yesterday,2020-12-08,89,Portuguese
Giving Voice,2020-12-11,90,English
The Minimalists: Less Is Now,2021-01-01,53,English
Tony Parker: The Final Shot,2021-01-06,98,French
"Crack: Cocaine, Corruption & Conspiracy",2021-01-11,89,English
What Would Sophia Loren Do?,2021-01-15,32,English
"Strip Down, Rise Up",2021-02-05,112,English
Pelé,2021-02-23,108,Portuguese
Biggie: I Got a Story to Tell,2021-03-01,97,English
Operation Varsity Blues: The College Admissions Scandal,2021-03-17,99,English
Seaspiracy,2021-03-24,89,English
Dolly Parton: A MusiCares Tribute,2021-04-07,55,English
Why Did You Kill Me?,2021-04-14,83,English
Chadwick Boseman: Portrait of an Artist,2021-04-17,21,English
Searching for Sheela,2021-04-22,58,English
Nail Bomber: Manhunt,2021-05-26,72,English
Breaking Boundaries: The Science of Our Planet,2021-06-04,73,English
Kitty Love: An Homage to Cats,2021-06-05,60,Dutch
Murder by the Coast,2021-06-23,88,Spanish
Sisters on Track,2021-06-24,96,English
Audible,2021-07-01,38,English
Private Network: Who Killed Manuel Buendia?,2021-07-14,100,Spanish
Pray Away,2021-08-03,101,English
Shiny_Flakes: The Teenage Drug Lord,2021-08-03,96,German
Untold: Malice at the Palace,2021-08-10,69,English
Untold: Deal with the Devil,2021-08-17,77,English
Memories of a Murderer: The Nilsen Tapes,2021-08-18,85,English
Untold: Caitlyn Jenner,2021-08-24,69,English
"Bob Ross: Happy Accidents, Betrayal & Greed",2021-08-25,93,English
Untold: Crimes & Penalties,2021-08-31,86,English
Untold: Breaking Point,2021-09-07,79,English
Blood Brothers: Malcolm X & Muhammad Ali,2021-09-09,96,English
The Women and the Murderer,2021-09-09,92,French
Schumacher,2021-09-15,112,English
My Heroes Were Cowboys,2021-09-16,23,English
Britney vs Spears,2021-09-28,93,English
Convergence: Courage in a Crisis,2021-10-12,113,English
Making Malinche: A Documentary by Nacho Cano,2021-10-12,89,Spanish
Found,2021-10-20,98,English
Flip a Coin – One OK Rock Documentary,2021-10-21,105,Japanese
Lords of Scam,2021-11-03,105,French
A Cop Movie,2021-11-05,107,Spanish
Procession,2021-11-19,118,English
Angèle,2021-11-26,84,French
