title,release_date,genre,runtime,language
Beasts of No Nation,2015-10-16,War drama,137,English
The Ridiculous 6,2015-12-11,Western comedy,120,English
Pee-wee's Big Holiday,2016-03-18,Adventure comedy,90,English
Special Correspondents,2016-04-29,Satire,101,English
The Do-Over,2016-05-27,Action comedy,108,English
The Fundamentals of Caring,2016-06-24,Comedy drama,97,English
Brahman Naman,2016-07-07,Sex comedy,95,English
Rebirth,2016-07-15,Thriller,100,English
Tallulah,2016-07-29,Comedy drama,111,English
XOXO,2016-08-26,Drama,92,English
ARQ,2016-09-16,Science fiction / Thriller,88,English
The Siege of Jadotville,2016-10-07,War,108,English
Mascots,2016-10-13,Mockumentary,95,English
I Am the Pretty Thing That Lives in the House,2016-10-28,Horror,89,English
7 años,2016-10-28,Drama,77,Spanish
True Memoirs of an International Assassin,2016-11-11,Action comedy,98,English
Mercy,2016-11-22,Thriller,87,English
Spectral,2016-12-09,Science fiction / Action,108,English
Barry,2016-12-16,Biopic,104,English
Coin Heist,2017-01-06,Heist,97,English
Clinical,2017-01-13,Horror thriller,104,English
Take the 10,2017-01-20,Comedy,80,English
iBOY,2017-01-27,Science fiction / Thriller,90,English
Imperial Dreams,2017-02-03,Drama,86,English
Girlfriend's Day,2017-02-14,Comedy drama,70,English
I Don't Feel at Home in This World Anymore,2017-02-24,Thriller drama,96,English
Burning Sands,2017-03-10,Drama,102,English
Deidra & Laney Rob a Train,2017-03-17,Comedy crime,92,English
The Most Hated Woman in America,2017-03-24,Biopic,92,English
The Discovery,2017-03-31,Science fiction / Drama,102,English
Win It All,2017-04-07,Comedy,88,English
Sandy Wexler,2017-04-14,Comedy,131,English
Sand Castle,2017-04-21,War,113,English
Tramps,2017-04-21,Romantic comedy,83,English
Small Crimes,2017-04-28,Dark comedy,95,English
Handsome: A Netflix Mystery Movie,2017-05-05,Comedy mystery,81,English
BLAME!,2017-05-20,Anime / Science fiction,106,Japanese
War Machine,2017-05-26,War-Comedy,122,English
Shimmer Lake,2017-06-09,Crime thriller,86,English
Okja,2017-06-28,Action-adventure,121,English
To the Bone,2017-07-14,Drama,107,English
The Incredible Jessica James,2017-07-28,Romantic comedy,83,English
Naked,2017-08-11,Comedy,96,English
Death Note,2017-08-25,Horror thriller,100,English
Little Evil,2017-09-01,Comedy horror,94,English
#realityhigh,2017-09-08,Teen comedy,99,English
First They Killed My Father,2017-09-15,Biographical drama,136,Khmer
Gerald's Game,2017-09-29,Horror thriller,103,English
Our Souls at Night,2017-09-29,Romance,103,English
Bomb Scared,2017-10-12,Black comedy,89,Spanish
The Babysitter,2017-10-13,Teen comedy horror,85,English
The Meyerowitz Stories (New and Selected),2017-10-13,Comedy drama,112,English
