Title,Release date,Genre,Runtime,Language
A Very Murray Christmas,"December 4, 2015",Comedy / Musical,56 min,English
Justin Timberlake + The Tennessee Kids,"October 12, 2016",Concert film,1 h 30 min,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,"January 26, 2017",Aftershow / Interview,36 min,English
"Michael Bolton's Big, Sexy Valentine's Day Special","February 7, 2017",Variety show,54 min,English
Rodney King,"April 28, 2017",One-man show,52 min,English
"Barbra: The Music, The Mem'ries, The Magic","November 22, 2017",Concert film,1 h 48 min,English
Loudon Wainwright III: Surviving Twin,"November 13, 2018",One-man show,1 h 31 min,English
Angela's Christmas,"November 30, 2018",Animation,30 min,English
Springsteen on Broadway,"December 16, 2018",One-man show,2 h 33 min,English
Porta dos Fundos: The Last Hangover,"December 21, 2018",Comedy,44 min,Portuguese
Taylor Swift: Reputation Stadium Tour,"December 31, 2018",Concert film,2 h 5 min,English
Kevin Hart's Guide to Black History,"February 8, 2019",Variety show,1 h 3 min,English
Still Laugh-In: The Stars Celebrate,"May 14, 2019",Variety show,1 h,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,"May 23, 2019",Comedy / Musical,30 min,English
"Frankenstein's Monster's Monster, Frankenstein","July 16, 2019",Mockumentary,32 min,English
Rocko's Modern Life: Static Cling,"August 9, 2019",Animation / Comedy,45 min,English
Sturgill Simpson Presents: Sound & Fury,"September 27, 2019",Animation / Musical,41 min,English
The Irishman: In Conversation,"November 27, 2019",Aftershow / Interview,23 min,English
Porta dos Fundos: The First Temptation of Christ,"December 3, 2019",Comedy,46 min,Portuguese
John Mulaney & the Sack Lunch Bunch,"December 24, 2019",Variety show,1 h 10 min,English
Road to Roma,"February 11, 2020",Making-of,1 h 12 min,Spanish
Ben Platt: Live from Radio City Music Hall,"May 20, 2020",Concert film,1 h 25 min,English
The Boys in the Band: Something Personal,"September 30, 2020",Aftershow / Interview,28 min,English
Sarah Cooper: Everything's Fine,"October 27, 2020",Variety show,49 min,English
Alien Xmas,"November 20, 2020",Stop motion,42 min,English
Shawn Mendes: Live in Concert,"November 25, 2020",Concert film,1 h 27 min,English
Angela's Christmas Wish,"December 1, 2020",Animation,47 min,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,"December 18, 2020",Aftershow / Interview,31 min,English
"Ariana Grande: Excuse Me, I Love You","December 21, 2020",Concert film,1 h 37 min,English
Death to 2020,"December 27, 2020",Comedy,1 h 10 min,English
To All the Boys: Always and Forever – The Afterparty,"February 13, 2021",Aftershow,36 min,English
Creating an Army of the Dead,"May 22, 2021",Making-of,28 min,English
Emicida: AmarElo – Live in São Paulo,"July 15, 2021",Concert,1 h 39 min,Portuguese
Monster Hunter: Legends of the Guild,"August 12, 2021",Animated fantasy,58 min,English
Attack of The Hollywood Clichés!,"September 28, 2021",Comedy,58 min,English
Escape the Undertaker,"October 5, 2021",Interactive horror,31 min,English
Sex: Unzipped,"October 26, 2021",Comedy,59 min,English
Robin Robin,"November 24, 2021",Stop motion / musical,32 min,English
Death to 2021,"December 27, 2021",Comedy,1 h,English
The House,"January 14, 2022",Stop motion / dark comedy,1 h 37 min,English
Adam by Eve: A Live in Animation,"March 15, 2022",Animation / concert film,58 min,Japanese
Celeb Five: Behind the Curtain,"April 1, 2022",Docu-comedy,55 min,Korean
Oprah + Viola: A Netflix Special Event,"April 22, 2022",Interview,48 min,English
Dirty Daddy: The Bob Saget Tribute,"June 10, 2022",Interview,1 h 23 min,English
Dave Chappelle: What's In a Name?,"July 7, 2022",Speech,39 min,English
Ivy + Bean,"September 2, 2022",Family,57 min,English
Ivy + Bean: Doomed to Dance,"September 2, 2022",Family,56 min,English
Ivy + Bean: The Ghost That Had to Go,"September 2, 2022",Family,1 h 1 min,English
Entergalactic,"September 30, 2022",Musical drama,1 h 32 min,English
Barbie Epic Road Trip,"October 25, 2022",Animation / interactive fiction,36 min,English
Making ATHENA,"November 18, 2022",Making-of,37 min,French
Guillermo del Toro's Pinocchio: Handcarved Cinema,"December 9, 2022",Making-of,30 min,English
The Seven Deadly Sins: Grudge of Edinburgh Part 1,"December 20, 2022",Anime,52 min,Japanese
Stuck with You,"December 28, 2022",Romantic comedy,59 min,French
A Whole Lifetime with Jamie Demetriou,"February 28, 2023",Comedy,52 min,English
We Lost Our Human,"March 21, 2023",Animation / interactive fiction,1 h 43 min,English
Mighty Morphin Power Rangers: Once & Always,"April 19, 2023",Superhero science fiction,55 min,English
The Light We Carry: Michelle Obama & Oprah Winfrey,"April 25, 2023",Interview,1 h 30 min,English
Tudum 2023: A Global Fan Event,"June 17, 2023",Fan event,2 h 46 min,English
The Seven Deadly Sins: Grudge of Edinburgh Part 2,"August 8, 2023",Anime,54 min,Japanese
Choose Love,"August 31, 2023",Romantic comedy / interactive fiction,1 h 17 min,English
Lifting the Veil: Behind the Scenes of Ehrengard,"September 14, 2023",Behind the scenes,40 min,Danish
The Wonderful Story of Henry Sugar,"September 27, 2023",Adventure comedy,39 min,English
The Netflix Cup,"November 14, 2023",Sports event,2 h 35 min,English
The Bad Guys: A Very Bad Holiday,"November 30, 2023",Animated heist comedy,25 min,English
Society of the Snow: Who Were We on the Mountain?,"January 24, 2024",Behind the scenes,36 min,Spanish
Sit Down with Stand Up Udom Taephanich,"January 26, 2024",Talk show,2 h 4 min,Thai
The 30th Annual Screen Actors Guild Awards,"February 24, 2024",Award show,3 h 15 min,English
The Netflix Slam,"March 3, 2024",Sports event,2 h 41 min,English
Creating a Universe – The Making of Rebel Moon,"April 19, 2024",Behind the scenes,28 min,English
Rebel Moon – Chapter One: Chalice of Blood,"August 2, 2024",Director's cut,3 h 24 min,English
Rebel Moon – Chapter Two: Curse of Forgiveness,"August 2, 2024",Director's cut,2 h 53 min,English
Chestnut vs. Kobayashi: Unfinished Beef,"September 2, 2024",Competitive eating,1 h 12 min,English
The Bad Guys: Haunted Heist,"October 3, 2024",Animated heist comedy,24 min,English
Olivia Rodrigo: GUTS World Tour,"October 29, 2024",Concert,1 h 44 min,English
Jake Paul vs. Mike Tyson,"November 15, 2024",Sports event,5 h 6 min,English
A Nonsense Christmas with Sabrina Carpenter,"December 6, 2024",Music/Variety,50 min,English
Family Pack: Fireplace,"December 13, 2024",Fireplace,1 h,No dialogue
Mid-Century Modern Fireplace,"December 13, 2024",Fireplace,1 h,No dialogue
Rustic Cabin Fireplace,"December 13, 2024",Fireplace,1 h,No dialogue
Spellbound: Fireplace,"December 13, 2024",Fireplace,1 h,No dialogue
White Christmas Fireplace,"December 13, 2024",Fireplace,1 h,No dialogue
Christmas Gameday: Chiefs vs. Steelers,"December 25, 2024",Sports event,5 h 26 min,English
Christmas Gameday: Ravens vs. Texans,"December 25, 2024",Sports event,3 h 56 min,English
Avicii – My Last Show,"December 31, 2024",DJ mixset,29 min,English
Anuja,"February 5, 2025",Short film,23 min,Hindi
The 31st Annual Screen Actors Guild Awards,"February 23, 2025",Award show,2 h 17 min,English
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
Katie Taylor vs. Amanda Serrano[26],"July 11, 2025",Sports event,TBA,English
