title,release_date,genre,runtime,language
A Very Murray Christmas,2015-12-04,Comedy / Musical,56,English
Justin Timberlake + The Tennessee Kids,2016-10-12,Concert film,90,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017-01-26,Aftershow / Interview,36,English
"Michael Bolton's Big, Sexy Valentine's Day Special",2017-02-07,Variety show,54,English
Rodney King,2017-04-28,One-man show,52,English
"Barbra: The Music, The Mem'ries, The Magic",2017-11-22,Concert film,108,English
Loudon Wainwright III: Surviving Twin,2018-11-13,One-man show,91,English
Angela's Christmas,2018-11-30,Animation,30,English
Springsteen on Broadway,2018-12-16,One-man show,153,English
Porta dos Fundos: The Last Hangover,2018-12-21,Comedy,44,Portuguese
Taylor Swift: Reputation Stadium Tour,2018-12-31,Concert film,125,English
Kevin Hart's Guide to Black History,2019-02-08,Variety show,63,English
Still Laugh-In: The Stars Celebrate,2019-05-14,Variety show,60,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019-05-23,Comedy / Musical,30,English
"Frankenstein's Monster's Monster, Frankenstein",2019-07-16,Mockumentary,32,English
Rocko's Modern Life: Static Cling,2019-08-09,Animation / Comedy,45,English
Sturgill Simpson Presents: Sound & Fury,2019-09-27,Animation / Musical,41,English
The Irishman: In Conversation,2019-11-27,Aftershow / Interview,23,English
Porta dos Fundos: The First Temptation of Christ,2019-12-03,Comedy,46,Portuguese
John Mulaney & the Sack Lunch Bunch,2019-12-24,Variety show,70,English
Road to Roma,2020-02-11,Making-of,72,Spanish
Ben Platt: Live from Radio City Music Hall,2020-05-20,Concert film,85,English
The Boys in the Band: Something Personal,2020-09-30,Aftershow / Interview,28,English
Sarah Cooper: Everything's Fine,2020-10-27,Variety show,49,English
Alien Xmas,2020-11-20,Stop motion,42,English
Shawn Mendes: Live in Concert,2020-11-25,Concert film,87,English
Angela's Christmas Wish,2020-12-01,Animation,47,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,2020-12-18,Aftershow / Interview,31,English
"Ariana Grande: Excuse Me, I Love You",2020-12-21,Concert film,97,English
Death to 2020,2020-12-27,Comedy,70,English
To All the Boys: Always and Forever – The Afterparty,2021-02-13,Aftershow,36,English
Creating an Army of the Dead,2021-05-22,Making-of,28,English
Emicida: AmarElo – Live in São Paulo,2021-07-15,Concert,99,Portuguese
Monster Hunter: Legends of the Guild,2021-08-12,Animated fantasy,58,English
Attack of The Hollywood Clichés!,2021-09-28,Comedy,58,English
Escape the Undertaker,2021-10-05,Interactive horror,31,English
Sex: Unzipped,2021-10-26,Comedy,59,English
Robin Robin,2021-11-24,Stop motion / musical,32,English
Death to 2021,2021-12-27,Comedy,60,English
The House,2022-01-14,Stop motion / dark comedy,97,English
Adam by Eve: A Live in Animation,2022-03-15,Animation / concert film,58,Japanese
